Year,temp_mean,temp_std,co2_mean,co2_std
1000,-0.3536679462571977,0.09603853428044169,278.66,0.9047423158052605
1001,-0.3761512476007678,0.092810036568593,278.68,0.9047423158052605
1002,-0.39598195777351247,0.09650982343785477,278.69,0.9047423158052605
1003,-0.40627024952015356,0.10159915986997022,278.71,0.9047423158052605
1004,-0.4024550863723609,0.10114986814148896,278.72,0.9047423158052605
1005,-0.3897552783109405,0.09648741197276066,278.73,0.9047423158052605
1006,-0.37879040307101725,0.0944088252884084,278.74,0.9047423158052605
1007,-0.37751401151631475,0.09841281643117049,278.75,0.9047423158052605
1008,-0.38789117082533586,0.10707163381610275,278.76,0.9047423158052605
1009,-0.40483224568138193,0.11706771034051314,278.77,0.9047423158052605
1010,-0.42022514395393473,0.12479810649924358,278.78,0.9047423158052605
1011,-0.42952936660268715,0.12939048012695006,278.79,0.9047423158052605
1012,-0.4291481765834933,0.13173786734946086,278.8,0.9047423158052605
1013,-0.4152410748560461,0.13598075373572088,278.81,0.9047423158052605
1014,-0.38934395393474086,0.1449587844835618,278.82,0.9047423158052605
1015,-0.35727120921305183,0.15586155165685073,278.83,0.9047423158052605
1016,-0.32314644913627644,0.16127704708126245,278.84,0.9047423158052605
1017,-0.2929690978886757,0.1554216385073199,278.85,0.9047423158052605
1018,-0.27167869481765833,0.13885769648146754,278.86,0.9047423158052605
1019,-0.2619188099808062,0.12179737378485975,278.88,0.9047423158052605
1020,-0.2635408829174664,0.11080360119107711,278.89,0.9047423158052605
1021,-0.27593877159309016,0.10570202891595624,278.91,0.9047423158052605
1022,-0.2932013435700576,0.10640244293988725,278.93,0.9047423158052605
1023,-0.3090351247600768,0.11051686581360892,278.95,0.9047423158052605
1024,-0.3182309021113244,0.11441346875121226,278.97,0.9047423158052605
1025,-0.31687946257197697,0.11535361944781193,279.0,0.9047423158052605
1026,-0.3017539347408829,0.11307465347515555,279.03,0.9047423158052605
1027,-0.2804531669865643,0.10998201476460445,279.06,0.9047423158052605
1028,-0.26553704414587337,0.10809203428140429,279.09,0.9047423158052605
1029,-0.2617383877159309,0.10857719172096376,279.13,0.9047423158052605
1030,-0.26617063339731284,0.11002937580387492,279.16,0.9047423158052605
1031,-0.28154241842610367,0.11189748426876459,279.2,0.9047423158052605
1032,-0.30231976967370444,0.11208089408970136,279.25,0.9047423158052605
1033,-0.3187704414587332,0.11138005453261979,279.29,0.9047423158052605
1034,-0.33451996161228403,0.11457404233809172,279.34,0.9047423158052605
1035,-0.3486771593090211,0.12102093301284525,279.39,0.9047423158052605
1036,-0.3554460652591171,0.12824267721209856,279.44,0.9047423158052605
1037,-0.35512514395393474,0.13320341876397895,279.5,0.9047423158052605
1038,-0.35276545105566215,0.13522643487384556,279.55,0.9047423158052605
1039,-0.35208195777351253,0.13510248567435953,279.61,0.9047423158052605
1040,-0.3518539347408829,0.13378789193255597,279.67,0.9047423158052605
1041,-0.34878253358925143,0.1311910514585479,279.73,0.9047423158052605
1042,-0.34075124760076775,0.12759652245147488,279.79,0.9047423158052605
1043,-0.33079808061420346,0.12751103389722643,279.86,0.9047423158052605
1044,-0.32569059500959696,0.13338664348942908,279.92,0.9047423158052605
1045,-0.32557600767754313,0.14177354078095522,279.98,0.9047423158052605
1046,-0.32692975047984646,0.14921530371649835,280.05,0.9047423158052605
1047,-0.32513493282149714,0.1559403019663334,280.11,0.9047423158052605
1048,-0.32146641074856047,0.15996060982790603,280.17,0.9047423158052605
1049,-0.32066487523992326,0.1631897251621376,280.23,0.9047423158052605
1050,-0.3215303262955854,0.16844774287163125,280.29,0.9047423158052605
1051,-0.3245679462571977,0.1753692915332938,280.35,0.904048613794576
1052,-0.3303836852207294,0.1802293820029417,280.41,0.9013675276564042
1053,-0.3403704414587332,0.1842567575464615,280.47,0.8985834210033888
1054,-0.3509819577735125,0.18668767774013878,280.53,0.8959322456216247
1055,-0.35684836852207297,0.18626829626763788,280.58,0.8934403809352424
1056,-0.35728464491362766,0.1863984658506078,280.63,0.8923707419708174
1057,-0.35797792706333975,0.19034680715109925,280.68,0.8904787369456854
